Drug,Age,Condition,Date,EaseofUse,Satisfaction,Sex,UsefulCount,Effectiveness
acetaminophen,25-34,Pain,11/27/08,5,1,Female,1,2
acetaminophen,25-34,Painful Periods,2/13/08,4,5,Female,1,4
acetaminophen (bulk) 100 % powder, ,Other,7/30/09,5,5, ,0,5
acetaminophen extra strength, ,Head Pain,1/7/10,5,3, ,0,4
acetaminophen pm, ,Allergic Conjunctivitis,12/7/11,5,5, ,0,5
"acetaminophen suppository, rectal", ,Pain associated with Arthritis,11/12/10,5,5, ,0,5
"acetaminophen suppository, rectal",25-34,Other,2/1/11,2,2,Male,3,2
acetaminophen-codeine, ,Pain,1/9/18,5,5, ,2,5
acetaminophen-codeine, ,Pain,11/18/07,5,2, ,4,1
acetaminophen-codeine,13-18,Pain,9/28/14,4,5,Female,2,5
acetaminophen-codeine,19-24,Pain,10/25/10,5,5,Male,1,5
acetaminophen-codeine,19-24,Pain,9/30/08,1,1,Female,1,1
acetaminophen-codeine,25-34,Pain,10/10/14,5,2,Male,0,1
acetaminophen-codeine,25-34,Pain,12/2/07,4,5,Female,4,5
acetazolamide,13-18,Pseudotumor Cerebri,4/11/11,1,1,Female,2,4
acetazolamide,25-34,Altitude Sickness,9/26/12,5,5,Female,3,5
acetylcysteine 100 mg/ml (10 %) solution,19-24,An Increase in the Thickness of Lung Secretions,11/30/17,5,5,Male,0,5
acidophilus chewable tablet,25-34,Diarrhea,3/26/12,5,5,Female,0,5
acidophilus chewable tablet,25-34,Diarrhea,3/6/10,5,5,Female,0,5
acidophilus probiotic capsule, ,Other,4/10/14,3,2, ,0,3
acidophilus tablet,6-Mar,Diarrhea,8/2/10,5,5,Male,0,5
acidophilus tablet, ,Other,3/10/12,5,5, ,0,5
aciphex, ,Condition in which Stomach Acid is Pushed Into the Esophagus,5/3/11,5,2, ,1,3
aciphex, ,Condition in which Stomach Acid is Pushed Into the Esophagus,11/17/08,5,5, ,0,5
aciphex, ,Condition of Increased Mast Cells,7/11/08,5,5, ,0,5
aciphex, ,Symptoms Accompanying Esophageal Reflux of Stomach Acid,10/23/07,5,5, ,3,5
aciphex, ,Medication Treatment for Healing Gastroesophageal Reflux,9/28/07,3,3, ,4,3
aciphex, ,Excessive Production of Stomach Acid,9/23/07,5,3, ,1,3
aciphex,19-24,Excessive Production of Stomach Acid,11/14/07,4,4,Female,3,4
aciphex,25-34,Other,8/16/14,5,5,Female,0,5
aciphex,25-34,Ulcer of Duodenum caused by Bacteria Helicobacter Pylori,10/8/08,5,5,Female,0,5
aciphex,25-34,Medication Treatment for Healing Gastroesophageal Reflux,1/1/08,4,4,Male,2,4
aciphex,25-34,Symptoms Accompanying Esophageal Reflux of Stomach Acid,9/22/07,5,5,Male,5,5
aciphex,25-34,Condition in which Stomach Acid is Pushed Into the Esophagus,9/21/07,1,2,Female,7,3
acitretin,25-34,Severe Psoriasis that is Resistant to Treatment,1/4/15,3,1,Male,5,1
acneclear gel,25-34,Acne,10/18/07,5,5,Female,3,5
acthar 80 unit/ml injection gel corticotropins, ,Sarcoidosis,5/23/15,5,5, ,1,5
acthar 80 unit/ml injection gel corticotropins,13-18,Asthma,2/15/11,3,4,Female,0,4
actidose-aqua,25-34,Other,8/5/10,3,2,Female,0,2
actigall, ,Rare Progressive Liver Disease - Primary Biliary Cirrhosis,10/19/09,5,5,Female,6,5
activella, ,"""Change of Life"" Signs",11/29/09,5,4, ,2,4
actonel, ,Decreased Bone Mass Following Menopause,9/24/07,3,3, ,8,2
actonel 150 mg tablet, ,Decreased Bone Mass Following Menopause,9/24/07,3,3, ,8,2
actonel 35 mg tablet, ,Decreased Bone Mass Following Menopause,9/24/07,3,3, ,8,2
actonel tablet osteoporosis agents, ,Decreased Bone Mass Following Menopause,9/24/07,3,3, ,8,2
actoplus met,55-64,Type 2 Diabetes Mellitus,10/14/07,4,4,Female,4,4
actos,13-18,Other,7/20/19,5,5,Female,0,5
actos,55-64,Other,4/29/14,1,1,Male,32,1
actos, ,Type 2 Diabetes Mellitus,10/29/19,3,3, ,0,3
actos, ,Other,10/29/19,3,3, ,0,3
actos, ,Type 2 Diabetes Mellitus,10/27/11,2,2, ,6,2
actos, ,Other,7/12/11,3,4, ,0,4
actos, ,Type 2 Diabetes Mellitus,8/13/09,3,2, ,2,2
actos, ,Type 2 Diabetes Mellitus,6/10/09,5,5, ,0,5
actos, ,Type 2 Diabetes Mellitus,5/5/09,3,3, ,0,3
actos, ,Type 2 Diabetes Mellitus,9/24/08,5,5, ,1,5
actos, ,Type 2 Diabetes Mellitus,8/1/08,3,3, ,0,3
actos, ,Other,1/31/08,4,4, ,1,4
actos, ,Other,12/10/07,3,3, ,4,4
actos, ,Type 2 Diabetes Mellitus,11/19/07,4,5,Female,8,4
actos, ,Type 2 Diabetes Mellitus,10/9/07,5,5, ,9,4
actos,19-24,Type 2 Diabetes Mellitus,1/18/09,3,4,Male,1,4
actos,25-34,Type 2 Diabetes Mellitus,5/13/16,5,5,Male,7,5
actos,25-34,Type 2 Diabetes Mellitus,4/16/09,5,1,Female,1,2
adderall,6-Mar,Attention Deficit Disorder with Hyperactivity,9/30/09,2,2, ,2,2
adderall,6-Mar,Attention Deficit Disorder with Hyperactivity,5/13/14,5,5,Male,0,5
adderall,6-Mar,Attention Deficit Disorder with Hyperactivity,8/28/09,1,1,Female,0,1
adderall,6-Mar,Attention Deficit Disorder with Hyperactivity,6/20/12,5,5,Male,1,5
adderall,6-Mar,Recurring Sleep Episodes During the Day,8/12/08,4,4,Male,2,4
adderall,6-Mar,Attention Deficit Disorder with Hyperactivity,5/23/11,3,3,Female,1,3
adderall,6-Mar,Attention Deficit Disorder with Hyperactivity,2/14/11,5,5,Male,0,4
adderall,6-Mar,Attention Deficit Disorder with Hyperactivity,10/25/07,5,5,Male,2,5
adderall,12-Jul,Attention Deficit Disorder with Hyperactivity,6/6/13,1,1,Male,6,1
adderall,12-Jul,Attention Deficit Disorder with Hyperactivity,4/14/13,5,4,Female,1,4
adderall,12-Jul,Attention Deficit Disorder with Hyperactivity,6/28/10,5,2,Female,1,1
adderall,12-Jul,Attention Deficit Disorder with Hyperactivity,2/17/12,3,1,Male,2,2
adderall,12-Jul,Attention Deficit Disorder with Hyperactivity,2/8/08,3,3,Male,2,4
adderall,12-Jul,Attention Deficit Disorder with Hyperactivity,12/1/07,5,4,Male,0,5
adderall,12-Jul,Attention Deficit Disorder with Hyperactivity,11/4/07,5,4,Male,2,4
adderall,12-Jul,Attention Deficit Disorder with Hyperactivity,10/28/10,5,5,Female,1,5
adderall, ,Attention Deficit Disorder with Hyperactivity,2/20/14,5,5, ,2,5
adderall, ,Attention Deficit Disorder with Hyperactivity,9/1/13,1,4,Female,0,4
adderall, ,Recurring Sleep Episodes During the Day,6/13/13,5,5,Female,0,5
adderall, ,Attention Deficit Disorder with Hyperactivity,12/3/09,4,3, ,0,3
adderall, ,Recurring Sleep Episodes During the Day,7/2/10,4,4,Female,0,4
adderall, ,Attention Deficit Disorder with Hyperactivity,6/22/10,3,3, ,1,4
adderall, ,Attention Deficit Disorder with Hyperactivity,3/29/10,2,3,Female,0,2
adderall, ,Other,3/28/10,3,3, ,0,3
adderall, ,Attention Deficit Disorder with Hyperactivity,5/28/12,5,5, ,1,5
adderall, ,Attention Deficit Disorder with Hyperactivity,8/12/09,5,5, ,1,5
adderall, ,Other,7/24/09,3,3, ,0,3
adderall, ,Attention Deficit Disorder with Hyperactivity,7/9/09,3,3, ,0,1
adderall, ,Other,6/22/09,3,3, ,0,3
adderall, ,Other,7/20/12,4,3, ,0,5
adderall, ,Attention Deficit Disorder with Hyperactivity,5/15/12,5,5,Female,0,5
adderall, ,Attention Deficit Disorder with Hyperactivity,1/20/09,5,2, ,0,4
adderall, ,Attention Deficit Disorder with Hyperactivity,11/19/08,4,4, ,0,3
adderall, ,Other,5/16/11,4,5, ,0,4
adderall, ,Attention Deficit Disorder with Hyperactivity,4/18/11,5,5, ,1,5
adderall, ,Attention Deficit Disorder with Hyperactivity,4/30/08,5,5,Male,1,5
adderall, ,Attention Deficit Disorder with Hyperactivity,12/25/07,5,4, ,1,5
adderall, ,Other,1/13/11,4,4, ,0,4
adderall, ,Attention Deficit Disorder with Hyperactivity,1/11/11,4,4, ,1,4
adderall, ,Attention Deficit Disorder with Hyperactivity,10/11/10,5,4, ,0,3
adderall, ,Attention Deficit Disorder with Hyperactivity,9/13/10,3,3, ,1,3
adderall, ,Recurring Sleep Episodes During the Day,8/30/10,5,3, ,0,3
adderall, ,Recurring Sleep Episodes During the Day,8/9/10,2,2, ,0,2
adderall,13-18,Attention Deficit Disorder with Hyperactivity,8/22/15,5,4,Male,4,4
adderall,13-18,Attention Deficit Disorder with Hyperactivity,5/19/10,1,1,Male,1,1
adderall,13-18,Attention Deficit Disorder with Hyperactivity,12/2/12,4,2, ,1,2
adderall,13-18,Attention Deficit Disorder with Hyperactivity,11/7/12,3,3,Male,0,4
adderall,13-18,Attention Deficit Disorder with Hyperactivity,1/12/12,4,4,Male,3,4
adderall,13-18,Attention Deficit Disorder with Hyperactivity,12/30/11,1,1,Male,0,1
adderall,13-18,Attention Deficit Disorder with Hyperactivity,1/4/08,2,1,Male,3,1
adderall,13-18,Attention Deficit Disorder with Hyperactivity,12/23/07,5,5,Male,3,4
adderall,13-18,Attention Deficit Disorder with Hyperactivity,11/29/07,1,1,Male,3,1
adderall,13-18,Attention Deficit Disorder with Hyperactivity,9/28/07,5,3,Female,1,4
adderall,19-24,Attention Deficit Disorder with Hyperactivity,7/28/16,5,5, ,2,5
adderall,19-24,Attention Deficit Disorder with Hyperactivity,12/16/13,1,1,Male,2,1
adderall,19-24,Attention Deficit Disorder with Hyperactivity,1/26/10,3,4,Female,0,4
adderall,19-24,Attention Deficit Disorder with Hyperactivity,10/30/09,5,5,Female,2,5
adderall,19-24,Attention Deficit Disorder with Hyperactivity,10/19/09,4,4,Female,2,4
adderall,19-24,Other,6/29/09,4,4,Female,0,4
adderall,19-24,Attention Deficit Disorder with Hyperactivity,2/27/14,5,5,Male,3,5
adderall,19-24,Attention Deficit Disorder with Hyperactivity,6/2/10,5,5,Female,0,5
adderall,19-24,Recurring Sleep Episodes During the Day,4/25/10,4,4,Female,0,3
adderall,19-24,Other,3/20/13,4,4,Female,1,5
adderall,19-24,Attention Deficit Disorder with Hyperactivity,9/4/09,5,5,Female,4,5
adderall,19-24,Other,8/28/09,5,5,Female,1,5
adderall,19-24,Attention Deficit Disorder with Hyperactivity,7/8/09,4,4,Male,0,4
adderall,19-24,Other,3/22/12,3,3,Female,0,4
adderall,19-24,Attention Deficit Disorder with Hyperactivity,4/6/09,5,5,Female,3,5
adderall,19-24,Attention Deficit Disorder with Hyperactivity,11/1/08,4,4,Female,1,4
adderall,19-24,Other,5/10/11,5,5,Female,1,5
adderall,19-24,Attention Deficit Disorder with Hyperactivity,2/12/11,3,3,Male,0,3
adderall,19-24,Attention Deficit Disorder with Hyperactivity,12/13/10,3,2,Male,0,5
adderall,19-24,Attention Deficit Disorder with Hyperactivity,11/24/07,5,5,Female,0,5
adderall,19-24,Attention Deficit Disorder with Hyperactivity,10/25/07,5,5,Female,1,5
adderall,19-24,Attention Deficit Disorder with Hyperactivity,9/27/07,4,5,Female,0,4
adderall,25-34,Attention Deficit Disorder with Hyperactivity,2/19/14,5,4,Female,1,5
adderall,25-34,Attention Deficit Disorder with Hyperactivity,12/22/13,5,5,Male,4,5
adderall,25-34,Other,11/2/13,3,5,Female,0,4
adderall,25-34,Attention Deficit Disorder with Hyperactivity,10/20/13,5,5,Female,4,5
adderall,25-34,Attention Deficit Disorder with Hyperactivity,1/14/10,3,3,Female,0,3
adderall,25-34,Recurring Sleep Episodes During the Day,12/9/09,3,1,Male,0,2
adderall,25-34,Attention Deficit Disorder with Hyperactivity,9/3/14,5,5,Male,3,5
adderall,25-34,Attention Deficit Disorder with Hyperactivity,8/5/14,5,5,Female,1,4
adderall,25-34,Other,4/2/14,1,1,Female,0,1
adderall,25-34,Attention Deficit Disorder with Hyperactivity,2/22/14,5,4,Female,2,5
adderall,25-34,Recurring Sleep Episodes During the Day,7/2/10,4,4,Male,0,4
adderall,25-34,Attention Deficit Disorder with Hyperactivity,4/21/10,3,3,Female,1,3
adderall,25-34,Other,2/13/13,5,5,Male,1,4
adderall,25-34,Attention Deficit Disorder with Hyperactivity,12/5/12,5,5,Female,2,5
adderall,25-34,Attention Deficit Disorder with Hyperactivity,9/15/09,3,4,Female,0,4
adderall,25-34,Attention Deficit Disorder with Hyperactivity,8/24/09,4,2,Female,0,2
adderall,25-34,Attention Deficit Disorder with Hyperactivity,6/17/09,5,5,Male,1,5
adderall,25-34,Attention Deficit Disorder with Hyperactivity,7/19/12,5,3,Female,0,3
adderall,25-34,Attention Deficit Disorder with Hyperactivity,4/5/12,4,5,Female,1,4
adderall,25-34,Attention Deficit Disorder with Hyperactivity,4/2/12,5,5,Male,0,5
adderall,25-34,Attention Deficit Disorder with Hyperactivity,2/1/12,5,4, ,0,5
adderall,25-34,Attention Deficit Disorder with Hyperactivity,3/30/09,3,4,Female,0,4
adderall,25-34,Attention Deficit Disorder with Hyperactivity,3/11/09,5,5,Male,3,4
adderall,25-34,Attention Deficit Disorder with Hyperactivity,12/21/08,5,5,Male,1,5
adderall,25-34,Attention Deficit Disorder with Hyperactivity,10/21/11,5,3,Female,1,5
adderall,25-34,Recurring Sleep Episodes During the Day,9/20/11,5,4,Male,0,4
adderall,25-34,Recurring Sleep Episodes During the Day,11/13/08,5,5,Male,1,5
adderall,25-34,Attention Deficit Disorder with Hyperactivity,10/24/08,4,4,Female,1,4
adderall,25-34,Attention Deficit Disorder with Hyperactivity,9/15/08,3,3,Female,2,4
adderall,25-34,Attention Deficit Disorder with Hyperactivity,5/21/08,1,1,Female,1,1
adderall,25-34,Attention Deficit Disorder with Hyperactivity,5/12/08,4,4,Female,2,4
adderall,25-34,Attention Deficit Disorder with Hyperactivity,5/11/11,4,4,Male,0,4
adderall,25-34,Attention Deficit Disorder with Hyperactivity,4/28/11,5,5,Male,1,5
adderall,25-34,Attention Deficit Disorder with Hyperactivity,4/27/11,3,3,Female,0,3
adderall,25-34,Other,4/18/11,5,5,Female,0,5
adderall,25-34,Other,1/1/08,1,5,Female,2,5
adderall,25-34,Attention Deficit Disorder with Hyperactivity,12/29/07,4,5,Female,3,5
adderall,25-34,Other,12/4/07,5,5,Female,0,5
adderall,25-34,Attention Deficit Disorder with Hyperactivity,3/2/11,5,5,Female,1,5
adderall,25-34,Recurring Sleep Episodes During the Day,2/6/11,2,1,Female,0,3
adderall,25-34,Other,12/26/10,5,4,Female,0,4
adderall,25-34,Attention Deficit Disorder with Hyperactivity,10/26/07,4,5,Female,3,5
adderall,25-34,Attention Deficit Disorder with Hyperactivity,10/9/07,4,4,Male,0,4
adderall,25-34,Attention Deficit Disorder with Hyperactivity,11/14/10,5,5,Female,0,5
adderall,25-34,Attention Deficit Disorder with Hyperactivity,10/7/10,5,4,Female,0,5
adderall,25-34,Attention Deficit Disorder with Hyperactivity,10/4/10,5,3,Female,1,3
adderall,25-34,Other,5/30/10,5,5,Male,0,5
adderall,25-34,Attention Deficit Disorder with Hyperactivity,7/29/10,5,4,Male,1,5
adderall,25-34,Attention Deficit Disorder with Hyperactivity,7/28/10,5,5,Female,0,5
adderall,25-34,Other,7/9/10,5,5,Male,0,5
adderall xr,6-Mar,Attention Deficit Disorder with Hyperactivity,11/16/10,5,3,Female,0,3
adderall xr,6-Mar,Attention Deficit Disorder with Hyperactivity,9/29/10,4,4,Female,1,4
adderall xr,6-Mar,Attention Deficit Disorder with Hyperactivity,2/10/10,5,3,Male,0,4
adderall xr,12-Jul,Attention Deficit Disorder with Hyperactivity,1/10/12,4,4,Female,0,4
adderall xr,12-Jul,Attention Deficit Disorder with Hyperactivity,3/12/09,5,4,Female,1,3
adderall xr,12-Jul,Other,10/17/08,3,2,Female,1,2
adderall xr,12-Jul,Attention Deficit Disorder with Hyperactivity,10/5/10,5,5,Female,2,5
adderall xr,12-Jul,Attention Deficit Disorder with Hyperactivity,10/22/07,4,4,Female,0,4
adderall xr, ,Attention Deficit Disorder with Hyperactivity,9/8/09,4,3, ,0,2
adderall xr, ,Attention Deficit Disorder with Hyperactivity,6/28/09,5,5,Female,0,5
adderall xr, ,Attention Deficit Disorder with Hyperactivity,11/3/10,5,4, ,1,4
adderall xr, ,Attention Deficit Disorder with Hyperactivity,10/29/10,4,5, ,2,5
adderall xr, ,Attention Deficit Disorder with Hyperactivity,8/10/10,4,4, ,1,4
adderall xr, ,Attention Deficit Disorder with Hyperactivity,3/11/10,4,4, ,0,3
adderall xr, ,Attention Deficit Disorder with Hyperactivity,11/9/09,5,5,Female,0,5
adderall xr, ,Attention Deficit Disorder with Hyperactivity,10/31/09,4,4, ,0,3
adderall xr, ,Attention Deficit Disorder with Hyperactivity,6/12/08,5,5, ,1,4
adderall xr, ,Attention Deficit Disorder with Hyperactivity,9/22/07,5,5, ,2,5
adderall xr,13-18,Attention Deficit Disorder with Hyperactivity,4/14/10,4,5,Female,2,5
adderall xr,13-18,Attention Deficit Disorder with Hyperactivity,2/25/10,3,3,Male,0,4
adderall xr,13-18,Attention Deficit Disorder with Hyperactivity,2/2/09,4,4,Male,0,5
adderall xr,13-18,Attention Deficit Disorder with Hyperactivity,9/1/08,3,3,Female,0,3
adderall xr,13-18,Attention Deficit Disorder with Hyperactivity,9/28/07,5,5,Male,1,5
adderall xr,19-24,Attention Deficit Disorder with Hyperactivity,7/10/13,5,5,Female,3,5
adderall xr,19-24,Attention Deficit Disorder with Hyperactivity,4/12/09,4,3,Female,1,2
adderall xr,19-24,Attention Deficit Disorder with Hyperactivity,10/6/08,4,5,Male,0,5
adderall xr,19-24,Attention Deficit Disorder with Hyperactivity,2/24/10,5,5,Female,1,5
adderall xr,19-24,Other,10/24/09,5,5,Female,1,5
adderall xr,19-24,Attention Deficit Disorder with Hyperactivity,2/26/09,5,5,Female,0,5
adderall xr,19-24,Attention Deficit Disorder with Hyperactivity,2/19/09,3,3,Female,0,4
adderall xr,19-24,Attention Deficit Disorder with Hyperactivity,2/29/08,5,4,Male,1,4
adderall xr,19-24,Attention Deficit Disorder with Hyperactivity,1/7/08,5,5,Female,2,5
adderall xr,19-24,Other,11/5/07,5,5,Female,4,5
adderall xr,19-24,Attention Deficit Disorder with Hyperactivity,11/1/07,5,4,Female,0,4
adderall xr,25-34,Recurring Sleep Episodes During the Day,10/9/12,5,5,Female,1,5
adderall xr,25-34,Other,9/4/09,5,5,Female,1,5
adderall xr,25-34,Attention Deficit Disorder with Hyperactivity,8/31/09,4,4,Male,4,4
adderall xr,25-34,Attention Deficit Disorder with Hyperactivity,8/29/09,4,5,Male,2,5
adderall xr,25-34,Attention Deficit Disorder with Hyperactivity,7/30/09,5,5,Female,1,5
adderall xr,25-34,Attention Deficit Disorder with Hyperactivity,7/29/09,5,5,Male,1,5
adderall xr,25-34,Attention Deficit Disorder with Hyperactivity,7/3/09,5,5,Female,0,5
adderall xr,25-34,Attention Deficit Disorder with Hyperactivity,1/29/09,2,1,Male,1,2
adderall xr,25-34,Attention Deficit Disorder with Hyperactivity,3/7/09,5,5,Female,0,4
adderall xr,25-34,Attention Deficit Disorder with Hyperactivity,10/13/08,5,5,Female,0,5
adderall xr,25-34,Attention Deficit Disorder with Hyperactivity,10/25/11,4,4,Female,0,5
adderall xr,25-34,Attention Deficit Disorder with Hyperactivity,6/26/10,5,5,Female,2,5
adderall xr,25-34,Attention Deficit Disorder with Hyperactivity,10/1/08,5,5,Female,0,5
adderall xr,25-34,Attention Deficit Disorder with Hyperactivity,1/1/10,5,5,Female,1,5
adderall xr,25-34,Attention Deficit Disorder with Hyperactivity,11/27/09,1,1,Female,1,1
adderall xr,25-34,Attention Deficit Disorder with Hyperactivity,4/30/08,5,4,Female,1,4
adderall xr,25-34,Attention Deficit Disorder with Hyperactivity,12/17/07,5,4,Female,1,4
adenosine 3 mg/ml intravenous solution, ,Paroxysmal Supraventricular Tachycardia,11/6/07,4,4, ,0,3
adipex-p,25-34,Overweight,4/1/09,3,3,Female,3,3
adipex-p, ,Overweight,4/5/10,3,4,Female,0,4
adipex-p, ,Overweight,10/17/07,4,5, ,2,4
adipex-p, ,Overweight,10/2/11,4,4, ,0,4
adipex-p, ,Overweight,5/11/10,4,3, ,0,3
adipex-p, ,Overweight,5/11/10,4,4, ,0,4
adipex-p, ,Overweight,4/20/11,5,5, ,1,5
adipex-p, ,Overweight,8/1/08,3,3, ,0,3
adipex-p, ,Overweight,1/2/08,5,5, ,0,5
adipex-p, ,Overweight,3/15/09,1,1, ,0,1
adipex-p,19-24,Overweight,2/22/11,5,5,Female,2,5
adipex-p,19-24,Overweight,8/26/09,5,5,Female,2,5
adipex-p,25-34,Overweight,3/26/10,3,4,Female,0,4
adipex-p,25-34,Overweight,3/23/10,5,5, ,0,5
adipex-p,25-34,Other,3/19/10,3,3,Female,0,3
adipex-p,25-34,Overweight,3/14/10,4,4,Female,3,4
adipex-p,25-34,Overweight,11/14/09,3,4,Female,0,3
adipex-p,25-34,Overweight,10/21/07,3,3,Female,2,3
adipex-p,25-34,Overweight,9/24/07,5,5,Female,16,5
adipex-p,25-34,Overweight,9/20/07,5,5,Female,13,5
adipex-p,25-34,Overweight,9/18/07,4,4,Female,8,4
adipex-p,25-34,Overweight,12/10/11,4,4,Male,0,4
adipex-p,25-34,Overweight,9/15/11,4,5,Female,1,4
adipex-p,25-34,Overweight,3/29/11,4,3,Female,0,3
adipex-p,25-34,Overweight,5/12/08,5,4,Female,0,4
adipex-p,25-34,Overweight,11/6/10,5,4,Female,0,5
adipex-p,25-34,Overweight,5/16/10,5,5,Female,0,4
adipex-p,25-34,Overweight,2/18/08,5,5,Female,0,5
adipex-p,25-34,Overweight,11/18/09,4,5,Female,0,5
adipex-p,25-34,Overweight,10/16/09,5,2,Female,1,3
adipex-p,25-34,Overweight,9/25/09,4,5,Female,0,4
adipex-p,25-34,Overweight,9/5/09,3,3,Female,0,2
adipex-p,25-34,Overweight,8/5/09,5,5,Female,0,5
adipex-p,25-34,Overweight,6/23/09,5,5,Female,0,5
adipex-p,25-34,Overweight,5/29/09,4,3,Female,1,3
adipex-p,25-34,Overweight,5/7/09,5,5,Female,0,5
adipex-p,25-34,Overweight,4/3/09,5,5,Female,0,5
adipex-p,25-34,Overweight,2/19/09,5,5,Female,0,5
adipex-p,25-34,Overweight,9/24/08,5,5,Female,1,5
adrenalin chloride vial,25-34,Life Threatening Allergic Reaction,4/6/11,1,1,Female,0,4
"advair diskus blister, with inhalation device",12-Jul,Asthma,10/13/08,5,5,Female,1,5
"advair diskus blister, with inhalation device", ,COPD with Chronic Bronchitis,2/24/12,5,4, ,0,4
"advair diskus blister, with inhalation device", ,Asthma,7/1/12,4,4,Female,3,4
"advair diskus blister, with inhalation device", ,Allergic Asthma,6/2/12,5,5,Female,0,5
"advair diskus blister, with inhalation device", ,COPD with Chronic Bronchitis,3/15/12,5,3,Female,0,5
"advair diskus blister, with inhalation device", ,Asthma,4/10/10,5,4,Female,0,3
"advair diskus blister, with inhalation device", ,COPD with Chronic Bronchitis,2/11/08,5,5, ,1,4
"advair diskus blister, with inhalation device", ,Bronchospasm,12/30/07,3,3, ,0,3
"advair diskus blister, with inhalation device", ,COPD with Chronic Bronchitis,10/19/07,5,5, ,9,5
"advair diskus blister, with inhalation device",13-18,Allergic Asthma,12/6/11,5,5,Female,0,5
"advair diskus blister, with inhalation device",19-24,Asthma,12/21/08,5,5,Male,0,5
"advair diskus blister, with inhalation device",19-24,Asthma,9/27/07,5,5,Female,2,5
"advair diskus blister, with inhalation device",25-34,Asthma,9/18/11,5,4,Female,4,4
"advair diskus blister, with inhalation device",25-34,Asthma,5/20/11,5,5,Male,0,5
"advair diskus blister, with inhalation device",25-34,Asthma,6/27/09,5,5,Female,1,5
"advair diskus blister, with inhalation device",25-34,Asthma,1/14/08,5,4,Female,0,4
"advair diskus blister, with inhalation device",25-34,Asthma,11/1/07,5,5,Female,0,5
advate vial,19-24,Bleeding in Hemophilia A,11/11/09,5,5,Male,1,5
advil,19-24,Rheumatoid Arthritis,9/25/07,4,3,Female,1,2
advil,25-34,Pain,6/24/09,5,5,Male,4,5
advil cold & sinus,13-18,Sinus Headache,1/28/09,5,5,Male,0,5
advil cold & sinus,25-34,Other,1/9/08,5,5,Female,2,5
advil migraine,25-34,Migraine Headache,12/21/07,5,5,Female,0,5
advil tablet, ,Joint Damage causing Pain and Loss of Function,10/15/09,4,4,Male,0,4
advil tablet, ,Pain,6/19/08,5,4, ,4,4
advil tablet, ,Fever,5/28/08,5,4, ,0,4
advil tablet, ,Fever,9/18/07,4,4, ,1,4
"advil tablet, chewable", ,Joint Damage causing Pain and Loss of Function,10/15/09,4,4,Male,0,4
"advil tablet, chewable", ,Pain,6/19/08,5,4, ,4,4
"advil tablet, chewable", ,Fever,5/28/08,5,4, ,0,4
"advil tablet, chewable", ,Fever,9/18/07,4,4, ,1,4
adzenys xr-odt,19-24,Attention Deficit Disorder with Hyperactivity,9/22/16,5,5,Female,4,5
